                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.80196,                 1.5223,                0.64588,                 1.1375,                0.89262,                0.83099,                0.89552,                0.63632,                 0.8321,                0.77465,                0.79235,                0.39754,                 1.1276,                 2.2755,                0.87553,                 1.2228,               0.000713,               0.000713,               0.000713
                     67,                0.86356,                 1.5506,                0.66063,                 1.1641,                0.78631,                0.85915,                0.88066,                0.58697,                0.69348,                0.76481,                0.73603,                0.38174,                 1.2327,                 2.0954,                 1.0115,                 1.2405,              0.0006932,              0.0006932,              0.0006932
                     68,                0.81471,                 1.6886,                0.67343,                 1.1426,                0.82094,                 0.8169,                0.87243,                0.53046,                0.73959,                0.73239,                0.72489,                0.36496,                 1.3001,                 2.0728,                0.99162,                 1.2609,              0.0006734,              0.0006734,              0.0006734
                     69,                0.79808,                 1.5114,                0.61917,                 1.1306,                0.87582,                0.80282,                0.87892,                 0.5677,                0.73693,                0.67606,                0.66767,                0.33295,                 1.2171,                 2.0875,                0.89669,                 1.2212,              0.0006536,              0.0006536,              0.0006536
                     70,                0.79146,                 1.4647,                 0.6255,                 1.1207,                0.88934,                0.79239,                0.90312,                 0.6077,                0.76205,                 0.6766,                0.71492,                0.35327,                 1.1166,                 2.0467,                0.89167,                 1.1692,              0.0006338,              0.0006338,              0.0006338
                     71,                0.73731,                 1.5601,                0.62277,                 1.1055,                 0.8649,                0.83099,                0.88487,                0.60228,                0.76112,                0.73239,                0.71692,                 0.3828,                 1.1591,                  2.068,                0.91224,                 1.1619,               0.000614,               0.000614,               0.000614
                     72,                 0.7866,                 1.3973,                0.64573,                 1.1421,                0.86479,                0.83099,                0.87164,                0.60555,                0.71767,                0.74648,                0.69062,                0.37581,                 1.1752,                 2.3138,                0.81638,                 1.1753,              0.0005942,              0.0005942,              0.0005942
                     73,                0.77781,                 1.5198,                0.61511,                 1.1129,                0.84567,                0.83099,                0.86833,                0.61027,                0.73852,                0.70423,                0.63828,                0.27212,                  1.143,                 2.1557,                0.78077,                 1.1944,              0.0005744,              0.0005744,              0.0005744
                     74,                0.73076,                 1.5035,                  0.607,                 1.0842,                 0.9056,                0.81079,                0.88293,                0.60642,                0.73327,                0.65828,                0.58451,                0.25028,                 1.1993,                 1.9987,                0.78501,                 1.2272,              0.0005546,              0.0005546,              0.0005546
                     75,                0.74104,                 1.5354,                0.62787,                 1.0979,                0.88031,                0.82873,                0.89697,                0.65638,                0.75982,                0.71297,                0.63796,                 0.3063,                 1.1007,                 1.9967,                0.73742,                 1.1671,              0.0005348,              0.0005348,              0.0005348
                     76,                0.72849,                 1.4377,                 0.5817,                 1.0908,                 0.9335,                0.84507,                0.90972,                0.67947,                0.82433,                0.74648,                0.71798,                0.35943,                  1.046,                  2.057,                0.72457,                 1.1401,               0.000515,               0.000515,               0.000515
                     77,                0.68158,                 1.4336,                0.56308,                 1.0641,                0.89562,                0.87324,                0.92381,                0.66248,                0.81612,                0.81267,                0.79126,                0.42396,                 1.0415,                 1.9957,                0.77061,                 1.1378,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69557,                 1.4793,                0.57291,                 1.0859,                0.93781,                0.84963,                0.92691,                0.66176,                0.82052,                0.77465,                0.77591,                0.40597,                 1.0425,                 1.9952,                0.79447,                  1.161,              0.0004754,              0.0004754,              0.0004754
                     79,                0.76044,                 1.5724,                0.60216,                 1.0925,                0.92205,                0.87324,                0.92616,                0.65757,                0.82018,                0.77092,                0.75562,                0.39953,                 1.0819,                 1.9606,                0.71155,                 1.1768,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72595,                 1.5293,                0.57936,                 1.1023,                0.89908,                0.87835,                0.92365,                0.66568,                0.83239,                0.78873,                0.78324,                0.39643,                 1.0131,                 1.9187,                0.69928,                 1.1703,              0.0004358,              0.0004358,              0.0004358
                     81,                0.73566,                 1.4962,                0.58723,                 1.0972,                0.86048,                0.85915,                0.92286,                0.67282,                0.83109,                0.77465,                0.77956,                0.38559,                 1.0084,                 1.9366,                0.71294,                 1.1519,               0.000416,               0.000416,               0.000416
                     82,                0.69378,                  1.451,                0.57217,                  1.074,                0.85605,                0.88732,                0.91299,                0.67122,                0.80024,                0.83099,                  0.779,                0.36272,                 1.0139,                 1.9295,                0.74226,                 1.1264,              0.0003962,              0.0003962,              0.0003962
                     83,                0.67646,                 1.4793,                0.55979,                 1.0685,                0.92169,                0.83099,                0.90444,                0.67773,                0.82163,                0.78873,                 0.7623,                0.37383,                 1.0006,                 1.8562,                0.72092,                 1.1342,              0.0003764,              0.0003764,              0.0003764
                     84,                0.65654,                 1.4086,                0.56123,                 1.0557,                0.96432,                0.83099,                0.92609,                0.68824,                0.85444,                0.73239,                0.72915,                0.39564,                0.98427,                 1.8478,                0.73005,                 1.1343,              0.0003566,              0.0003566,              0.0003566
                     85,                0.65184,                 1.3875,                0.54008,                 1.0553,                0.93808,                0.85357,                0.92718,                0.68987,                0.86119,                0.78645,                0.78666,                0.39989,                0.99058,                 1.8725,                0.74218,                 1.1326,              0.0003368,              0.0003368,              0.0003368
                     86,                0.62092,                 1.3636,                0.50355,                 1.0208,                0.86228,                0.90141,                0.92952,                0.69518,                0.82623,                0.74648,                0.76123,                0.40911,                 0.9808,                 2.0631,                0.71941,                 1.1299,               0.000317,               0.000317,               0.000317
                     87,                0.68466,                   1.31,                0.53365,                 1.0879,                 0.9134,                0.84507,                0.92371,                  0.689,                0.83465,                0.77465,                0.78428,                0.42015,                0.99363,                 2.2313,                 0.7467,                 1.1435,              0.0002972,              0.0002972,              0.0002972
                     88,                0.67388,                  1.407,                0.56357,                 1.0781,                0.91515,                0.84507,                0.91241,                0.67009,                0.83889,                0.77465,                0.78186,                0.41747,                 1.0089,                 2.2692,                0.73577,                 1.1518,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64874,                 1.3006,                0.51721,                 1.0598,                0.90984,                0.85288,                0.91184,                0.65711,                0.83171,                0.76574,                0.78077,                0.38162,                 1.0068,                   2.15,                0.72737,                  1.133,              0.0002576,              0.0002576,              0.0002576
